customer_id,customer_segment,order_count,total_spent,avg_order_value,last_purchase_date
47298,,1,99.9,99.9,2018-08-23 00:00:00
47347,,1,19.0,19.0,2018-08-28 00:00:00
47405,,1,22.99,22.99,2018-08-25 00:00:00
47636,,1,118.99,118.99,2018-08-23 00:00:00
47712,,1,115.99,115.99,2018-08-24 00:00:00
47994,,1,88.89,88.89,2018-08-25 00:00:00
48010,,1,134.9,134.9,2018-08-24 00:00:00
48369,,1,11.9,11.9,2018-08-23 00:00:00
48419,,1,29.99,29.99,2018-08-24 00:00:00
48598,,1,41.8,41.8,2018-08-28 00:00:00
48734,,1,59.9,59.9,2018-08-26 00:00:00
49000,,1,24.99,24.99,2018-08-23 00:00:00
49329,,1,32.0,32.0,2018-08-24 00:00:00
49458,,1,100.0,50.0,2018-08-23 00:00:00
50159,,1,82.89,41.445,2018-08-24 00:00:00
50339,,1,103.9,103.9,2018-08-26 00:00:00
50671,,1,63.99,63.99,2018-08-28 00:00:00
50993,,1,41.9,41.9,2018-08-28 00:00:00
51427,,1,14.9,14.9,2018-08-26 00:00:00
51535,,1,49.99,49.99,2018-08-27 00:00:00
51597,,1,30.0,30.0,2018-08-23 00:00:00
51891,,1,39.0,39.0,2018-08-24 00:00:00
52113,,1,24.99,24.99,2018-08-27 00:00:00
52532,,1,39.9,39.9,2018-08-28 00:00:00
52756,,1,25.99,25.99,2018-08-27 00:00:00
52784,,1,160.0,160.0,2018-08-24 00:00:00
53117,,1,65.0,65.0,2018-08-23 00:00:00
53463,,1,35.9,35.9,2018-08-25 00:00:00
53643,,1,39.9,39.9,2018-08-25 00:00:00
54121,,1,27.9,27.9,2018-08-26 00:00:00
54173,,1,999.99,999.99,2018-08-25 00:00:00
54270,,1,12.99,12.99,2018-08-25 00:00:00
54308,,1,30.0,30.0,2018-08-25 00:00:00
54566,,1,89.99,89.99,2018-08-25 00:00:00
54640,,1,25.89,25.89,2018-08-23 00:00:00
54787,,1,24.99,24.99,2018-08-23 00:00:00
55077,,1,106.9,106.9,2018-08-25 00:00:00
55114,,1,36.9,36.9,2018-08-27 00:00:00
55374,,1,51.9,51.9,2018-08-26 00:00:00
55392,,1,16.9,16.9,2018-08-23 00:00:00
55414,,1,23.98,11.99,2018-08-26 00:00:00
55497,,1,139.9,139.9,2018-08-26 00:00:00
56367,,1,14.49,14.49,2018-08-23 00:00:00
56813,,1,11.35,11.35,2018-08-24 00:00:00
56973,,1,99.98,99.98,2018-08-26 00:00:00
